name,city,description,sectors,revenue_model,work_regime,primary_function,secondary_function
CertifID,Grand Rapids,Identity verification and wire fraud prevention platform for real estate,Cybersecurity • Fintech • Real Estate,Subscription,Startup/Venture,Bureaucracy,Tool
BAMF Health,Grand Rapids,Precision medicine and theranostics for cancer treatment,Healthtech • Medical • Biotech,Services,Startup/Venture,Bureaucracy,Tool
HealthBridge,Grand Rapids,Healthcare payment platform enabling zero interest financing for patients,Healthtech • Fintech • SaaS,Transaction fees,Startup/Venture,Bureaucracy,Tool
Metropolis,Grand Rapids,AI-powered parking and mobility infrastructure platform,AI/ML • Smart City • Mobility,Usage-based,Startup/Venture,Tool,Bureaucracy
CQL,Grand Rapids,Composable commerce and digital platform development agency,eCommerce • Software • Consulting,Services,Outsourcing,Tool,Bureaucracy
webAI,Grand Rapids,Decentralized AI platform for on-device machine learning,AI/ML • Privacy Tech • Infrastructure,Subscription,Startup/Venture,Tool,None
ArcSite,Grand Rapids,Field drawing and estimating software for contractors and trades,SaaS • Construction • Productivity,Subscription,Startup/Venture,Tool,Bureaucracy
PhotoUp,Grand Rapids,AI-powered real estate photo editing and virtual staging platform,AI/ML • Real Estate • SaaS,Subscription,Startup/Venture,Tool,None
VNN Sports,Grand Rapids,Athletic communications and management platform for high schools,SaaS • Edtech • Sports,Subscription,Startup/Venture,Tool,Bureaucracy
Payload CMS,Grand Rapids,Open-source headless CMS and application framework,Developer Tools • Open Source • SaaS,Mixed,Open Source,Tool,Bureaucracy
Savant Automation,Grand Rapids,Automated guided vehicle and robotic material handling systems,Robotics • Manufacturing • Hardware,Hardware sales,Startup/Venture,Tool,None
Michigan Software Labs,Kalamazoo,Custom mobile and software development studio,Software • Mobile • Consulting,Services,Outsourcing,Tool,
SpinDance,Kalamazoo,Embedded systems and IoT product development consultancy,IoT • Embedded Systems • Consulting,Services,Outsourcing,Tool,None
Enspired Solutions,Lansing,PFAS water treatment technology using UV-catalyzed systems,CleanTech • Environmental • Hardware,Hardware sales,Startup/Venture,Tool,None
FirstIgnite,Traverse City,AI software helping universities identify corporate research partnerships,AI/ML • Edtech • SaaS,Subscription,Startup/Venture,Tool,Bureaucracy
Kode Health,Holland,On-demand medical coding gig platform connecting hospitals with coders,Healthtech • Marketplace • SaaS,Transaction fees,Startup/Venture,Bureaucracy,Tool
BlueFlite,Brighton,Cargo drone manufacturer with tiltrotor design for urban logistics,Drones • Hardware • Logistics,Hardware sales,Startup/Venture,Tool,None
Orbion Space Technology,Houghton,Electric Hall-effect propulsion systems for satellites,Space Tech • Hardware • Defense,Hardware sales,Startup/Venture,Tool,None
Kall Morris Inc,Marquette,Orbital debris removal and in-space servicing technology,Space Tech • Defense • Robotics,Hardware sales,Startup/Venture,Tool,None
Steelhead Technologies,Calumet,All-in-one ERP software for manufacturing job shops,Manufacturing • ERP • SaaS,Subscription,Startup/Venture,Bureaucracy,Tool
Altimetrik,Detroit,Digital business solutions and technology transformation services,IT Services • Digital Transformation • Consulting,Services,Outsourcing,Tool,Bureaucracy
Humanetics,Farmington Hills,Crash test simulation and digital human modeling technology,Automotive Tech • Simulation • Safety,Licensing,Corporate Agile,Tool,None
Quantum Signal AI,Saline,AI and autonomy research for defense and commercial applications,AI/ML • Defense • Autonomous Systems,Licensing,Startup/Venture,Tool,Bureaucracy
Dataspeed,Rochester Hills,Drive-by-wire and autonomous vehicle development systems,Autonomous Vehicles • Hardware • Engineering,Hardware sales,Startup/Venture,Tool,None
Traxen,Plymouth,AI-powered cruise control and energy optimization for trucks,AI/ML • Automotive Tech • CleanTech,Licensing,Startup/Venture,Tool,None
ADASTEC,East Lansing,SAE Level-4 autonomous driving software platform,Autonomous Vehicles • AI/ML • Software,Licensing,Startup/Venture,Tool,None
Acclarity,Detroit,Revenue cycle management and healthcare analytics platform,Healthtech • Analytics • SaaS,Subscription,Startup/Venture,Bureaucracy,Tool
Envorso,Detroit,Digital transformation and software engineering for automotive,Automotive Tech • Software • Consulting,Services,Outsourcing,Tool,Bureaucracy
Bankjoy,Michigan,Digital banking platform and API solutions for credit unions,Fintech • Banking • SaaS,Subscription,Startup/Venture,Bureaucracy,Tool
Cimulus,Ann Arbor,Custom software development and design services studio,Software • Consulting • UX,Services,Outsourcing,Tool,None
ProQuest,Ann Arbor,Academic research databases and library technology platform,Edtech • Data • SaaS,Subscription,Corporate Agile,Media,Bureaucracy
Hush,Michigan,Cyberprivacy service protecting personal data online,Cybersecurity • Privacy Tech • Consumer,Subscription,Startup/Venture,Tool,Bureaucracy
Sage Solutions Group,Livonia,HR compliance and human resources consulting technology,HR Tech • Compliance • SaaS,Mixed,Outsourcing,Bureaucracy,Tool
Coinshift,Grand Rapids,Crypto treasury management platform for DAOs and Web3 companies,Fintech • Web3 • SaaS,Subscription,Startup/Venture,Bureaucracy,Tool
Wedge,Grand Rapids,Fintech platform for home equity and real estate financing,Fintech • Real Estate • SaaS,Transaction fees,Startup/Venture,Bureaucracy,Tool
Ankored,Michigan,Compliance automation platform for regulated industries,Compliance Tech • SaaS • Fintech,Subscription,Startup/Venture,Bureaucracy,Tool
SGRX Health,Detroit,Pharmacy benefit management and specialty pharmacy solutions,Healthtech • Pharmacy • SaaS,Subscription,Startup/Venture,Bureaucracy,Tool
Lilypad Labs,Holland,Solar-powered autonomous boat rental technology,CleanTech • Hardware • Mobility,Hardware sales,Startup/Venture,Tool,None
Dorleco,Farmington Hills,Electric vehicle powertrain control systems and software,Automotive Tech • EV • Embedded Systems,Hardware sales,Startup/Venture,Tool,None
Dynamic Map Platform,Livonia,HD mapping and autonomous driving map data platform,Autonomous Vehicles • Data • Mapping,Licensing,Startup/Venture,Tool,None
Prefix Corporation,Rochester Hills,Prototype and design validation services for automotive and mobility,Automotive Tech • Hardware • Engineering,Services,Outsourcing,Tool,None
Optimal Engineering,Plymouth,Advanced engineering and simulation services for automotive,Automotive Tech • Engineering • Simulation,Services,Outsourcing,Tool,None
SeaLandAire Technologies,Jackson,Unmanned systems and robotics for defense and commercial use,Drones • Defense • Robotics,Hardware sales,Startup/Venture,Tool,None
Akadeum Life Sciences,Ann Arbor,Buoyancy-activated cell separation technology for life sciences,Biotech • Hardware • Life Sciences,Hardware sales,Startup/Venture,Tool,None
Ultium Cells,Lansing,Battery cell manufacturing joint venture for electric vehicles,EV • Manufacturing • CleanTech,Hardware sales,Corporate Agile,Tool,None
Birch Communications,Michigan,Cloud communications and unified communications platform,Cloud • Telecom • SaaS,Subscription,Startup/Venture,Tool,None
Swiftype,Ann Arbor,Enterprise search and site search platform,SaaS • Search • Developer Tools,Subscription,Startup/Venture,Tool,None
ePrize,Michigan,Digital promotions and loyalty program technology platform,Marketing Tech • SaaS • Consumer,Subscription,Startup/Venture,Tool,Bureaucracy
Perceptive Automata,Michigan,Human behavior prediction AI for autonomous vehicles,AI/ML • Autonomous Vehicles • Safety,Licensing,Startup/Venture,Tool,Bureaucracy
Tangent Works,Michigan,Automated machine learning and time series forecasting platform,AI/ML • Data • SaaS,Subscription,Startup/Venture,Tool,None
Duo (before Cisco),Ann Arbor,Two-factor authentication and zero-trust security platform,Cybersecurity • SaaS • Cloud,Subscription,Startup/Venture,Bureaucracy,Tool
Vizit,Michigan,Visual AI platform measuring content effectiveness and brand impact,AI/ML • Marketing Tech • Analytics,Subscription,Startup/Venture,Tool,Analytics
Spatial Studios,Michigan,3D visualization and spatial computing platform for design,AR/VR • Design • Software,Subscription,Startup/Venture,Tool,None
Lereta,Michigan,Property tax and flood determination services technology,Fintech • Real Estate • Data,Subscription,Startup/Venture,Bureaucracy,Tool
Opaque Systems,Michigan,Confidential computing platform for secure AI and data collaboration,AI/ML • Cybersecurity • Cloud,Licensing,Startup/Venture,Tool,Bureaucracy
GreenPath Financial Wellness,Michigan,Nonprofit financial counseling and debt management technology platform,Fintech • Consumer • Nonprofit,Services,Government/Public Sector,Bureaucracy,Tool
Domo,Michigan,Business intelligence and data visualization cloud platform,Data • Analytics • SaaS,Subscription,Startup/Venture,Tool,Bureaucracy
Boomerang Commerce,Michigan,AI-powered retail pricing and assortment optimization,AI/ML • eCommerce • Retail,Subscription,Startup/Venture,Tool,Bureaucracy
Truveris,Michigan,Pharmacy benefit analytics and drug pricing transparency platform,Healthtech • Analytics • Fintech,Subscription,Startup/Venture,Tool,Bureaucracy
ePlus,Michigan,Technology solutions and managed IT services provider,IT Services • Cloud • Managed Services,Services,Outsourcing,Tool,Bureaucracy
iStreamPlanet,Michigan,Cloud video production and live streaming technology platform,Media • Cloud • Video,Subscription,Startup/Venture,Tool,Media
Danlaw,Farmington Hills,Automotive electronics embedded software and telematics solutions,Automotive Tech • Embedded Systems • IoT,Services,Outsourcing,Tool,Bureaucracy
Perion Network,Michigan,Digital advertising technology and connected TV solutions,AdTech • Media • SaaS,Advertising,Corporate Agile,Media,Tool
Altaeros,Michigan,Autonomous aerial systems and tethered drone technology,Drones • CleanTech • Hardware,Hardware sales,Startup/Venture,Tool,None
Bodman PLC,Michigan,Legal technology and IP management solutions,LegalTech • SaaS • Enterprise,Subscription,Corporate Agile,Bureaucracy,Tool
Lear Corporation,Southfield,Automotive seating and electrical systems with software capabilities,Automotive Tech • Hardware • IoT,Hardware sales,Corporate Agile,Tool,None
